Frame,explicit-simd-thr,openacc-offload,openmp-offload,cuda-offload2,cuda-offload3,cuda-offload3b,explicit-simd,implicit-simd,openmp-loop,openmp-simd,thread-loop,vanilla
86,324.68806900000049609,496.50972199999898749,3775.4333929999856991,309.92740000000299005,174.35130809999998291,160.48843693749992667,1361.3493670000025304,1721.8433959999970284,371.58376800000070261,1724.3501779999946848,367.35677300000088508,2433.7905339999961143
87,328.26902000000046655,488.63713099999728229,3866.8242290000025605,316.32776400000039985,174.34923825000004172,181.48801306249995946,1375.5345430000006672,1739.4378569999985302,372.88287700000211089,1742.0919609999998556,370.90775999999789292,2464.1127480000195646
88,333.23007599999954209,508.41525700000289589,3897.6874559999996563,321.24000900000027059,173.16815654999996354,205.63241056250004135,1394.5826869999962128,1762.8012690000077782,377.39046299999756684,1765.5823600000103397,375.4667930000010756,2491.4548749999880783
89,339.34115899999994781,505.17860699999772578,3984.7368930000184264,331.13789500000120825,143.07038174999996727,200.41518681249991118,1419.5630490000041846,1792.5821460000008756,380.61489000000040051,1795.3890929999970467,378.67686099999889393,2519.0714929999840024
90,341.15739399999966963,497.99963499999932992,3999.8412639999969542,326.08869099999890295,159.1823060999999484,181.59367899999989504,1426.3776349999943704,1802.2318129999916891,384.06994300000008025,1804.8477560000010271,382.58848899999975401,2547.8074960000185456
91,343.77090199999929609,494.03342200000111006,4036.5394130000140649,327.29681600000049002,161.79200704999999516,185.26999431250001749,1437.3920100000104867,1814.8806610000037836,389.28648999999995794,1817.6212070000019594,387.523683000001256,2579.8359909999817319
92,347.60706400000174199,507.28572199999888426,4025.7164209999982631,335.44189099999857717,157.97276714999998148,204.16334493749999979,1452.2746289999872715,1834.5918320000009771,391.37630400000136888,1837.3194299999936447,389.7082740000001877,2605.1951430000030996
93,352.07332699999938086,530.85533899999859386,4070.2649730000075579,331.39896999999859872,185.57205915000000118,185.49019068750004635,1469.686837000011792,1854.1732820000049742,395.28161199999800601,1856.7961250000025757,393.16900200000048926,2617.3092719999999645
94,354.50696799999900577,533.94169700000304601,4059.2027159999870491,336.41330200000038531,165.96338769999996998,189.68139487499990992,1480.4424999999951069,1868.6975969999934932,397.53706800000190924,1871.097671000001128,395.47172299999999723,2647.3047180000148728
95,355.65121200000146473,540.33728900000005524,4158.9291070000053878,346.74436999999966247,183.06735309999999117,210.5921595625000009,1484.0396540000001551,1871.9599479999969844,399.8834540000011657,1874.5092599999964023,397.61635500000022603,2648.6377519999850847
96,358.64877899999925148,542.62493699999936325,4103.1243410000115546,342.92134600000065348,202.02666909999999234,195.20740856250006345,1495.6039289999978337,1886.6779760000013084,402.08265699999753906,1889.2951199999997698,399.78322500000018636,2682.0082190000107403
97,358.49960100000191687,565.30160499999487911,4158.6005320000367647,342.24473599999782891,168.99397115000002145,210.59884568749998834,1496.2046979999995528,1887.3572250000024724,402.1818890000013198,1889.9645830000081332,400.29289399999970556,2676.5379050000037751
98,363.02584499999920808,541.07125500000563534,4149.3073230000163676,351.64575300000319658,171.51488549999999123,213.06649056249992213,1514.3762960000090061,1908.7381380000038007,404.78428599999813287,1911.30659699999228,403.00994200000059209,2691.1793060000090918
